1         3
2         6
3         8
4         14
5         18
6         26
7         32
8         42
9         50
10        62
11        72
12        86
13        98
14        114
15        128
16        146
17        163
18        182
19        201
20        222
21        243
22        266
23        289
24        314
25        339
26        366
27        393
28        422
29        451
30        482
31        513
32        546
33        579
34        614
35        649
36        686
37        723
38        762
39        801
40        842
41        883
42        926
43        969
44        1014
45        1059
46        1106
47        1153
48        1202
49        1251
50        1302
51        1353
52        1406
53        1459
54        1514
55        1569
56        1626
57        1683
58        1742
59        1801
60        1862
61        1923
62        1986
63        2049
