1         2
3         6
5         12
7         32
9         48
11        70
13        94
15        120
17        156
19        192
21        234
23        278
25        328
27        380
29        438
31        498
33        564
35        632
37        706
39        782
41        864
43        948
45        1038
47        1130
49        1228
51        1328
53        1434
55        1542
57        1656
59        1772
61        1894
63        2018
