0         1
1         2
1         3
1         5
2         4
2         7
2         9
3         6
3         8
3         10
3         11
3         13
3         15
3         24
4         14
4         17
4         19
4         21
5         12
5         16
5         18
5         20
5         22
5         23
5         25
5         27
5         60
6         26
6         28
6         29
6         31
6         33
6         35
7         24
7         30
7         32
7         34
7         37
7         38
7         39
7         41
7         43
8         36
8         40
8         42
8         44
8         45
8         46
8         47
8         49
8         51
8         53
9         48
9         50
9         52
9         54
9         55
9         56
9         57
9         58
9         59
9         60
9         61
9         63
10        60
10        62
10        64
10        65
10        66
10        67
10        68
10        69
10        71
10        73
11        70
11        72
11        74
11        75
11        76
11        77
11        78
11        79
11        80
11        81
11        82
11        83
11        85
12        84
12        86
12        87
12        88
12        89
12        90
12        91
12        92
12        93
12        95
12        97
12        99
13        94
13        96
13        98
13        100
14        108
15        120
15        132
16        144
17        156
18        180
19        204
20        216
21        240
